Age,TenureMonths,MonthlyCharge,SupportCalls,ContractType,Churn
56,10,63.23,1,Month-to-Month,1
69,56,114.36,1,Month-to-Month,1
46,30,61.97,2,Two Year,0
32,5,83.85,1,Month-to-Month,0
60,33,59.76,3,Two Year,0
25,65,47.42,1,Two Year,0
38,18,118.4,0,One Year,0
56,49,60.93,1,One Year,0
36,11,109.41,3,One Year,1
40,26,43.0,2,Two Year,0
28,63,41.31,2,Month-to-Month,0
28,59,23.11,1,Month-to-Month,0
41,27,85.17,0,One Year,0
53,49,56.85,4,Month-to-Month,0
57,33,106.44,2,Month-to-Month,1
41,1,67.32,2,Month-to-Month,1
20,21,116.82,0,One Year,1
39,55,38.55,1,Two Year,0
19,6,106.86,1,Month-to-Month,1
41,69,97.66,2,Two Year,0
61,5,97.09,0,One Year,1
47,3,104.48,3,Two Year,1
55,53,96.1,3,One Year,0
19,23,82.62,0,One Year,0
38,53,33.12,3,Month-to-Month,0
50,37,23.25,0,Two Year,0
29,17,112.08,2,Month-to-Month,1
39,1,81.67,2,Two Year,0
61,51,99.65,1,Two Year,0
42,45,68.15,4,Month-to-Month,1
66,4,31.73,2,Month-to-Month,1
44,62,32.52,2,One Year,0
59,65,88.56,2,Month-to-Month,0
45,32,63.03,1,Two Year,0
33,34,40.05,0,Month-to-Month,1
32,39,69.16,0,Month-to-Month,1
64,26,26.42,2,Two Year,0
68,34,78.2,2,One Year,1
61,54,46.9,4,Two Year,0
69,3,99.76,3,Month-to-Month,1
20,50,51.04,2,One Year,0
54,12,65.52,0,One Year,0
68,65,21.16,2,One Year,0
24,54,27.24,1,One Year,0
38,5,59.25,1,One Year,0
26,57,67.99,4,Month-to-Month,1
56,17,80.0,2,Month-to-Month,1
35,47,49.17,1,One Year,0
21,23,89.5,2,Month-to-Month,1
42,14,106.01,2,One Year,0
31,66,97.99,1,Month-to-Month,0
67,51,23.96,1,One Year,0
26,38,68.05,3,One Year,0
43,64,30.49,4,Month-to-Month,0
19,38,44.2,1,Month-to-Month,0
37,50,118.67,1,Month-to-Month,0
45,30,34.25,0,One Year,0
64,51,69.89,1,Two Year,0
24,63,81.82,2,Month-to-Month,1
61,52,90.25,2,One Year,0
25,38,75.96,0,Month-to-Month,1
64,30,20.98,0,Month-to-Month,1
52,51,52.65,1,Two Year,0
31,5,71.77,5,Month-to-Month,1
34,29,28.79,3,Month-to-Month,0
53,4,55.06,1,Month-to-Month,1
67,10,23.32,2,Month-to-Month,1
57,56,27.86,1,Month-to-Month,0
21,17,59.69,1,Month-to-Month,1
19,17,33.27,2,One Year,0
23,69,76.75,3,Month-to-Month,1
59,34,88.95,1,One Year,1
21,6,100.06,2,Month-to-Month,1
46,53,40.02,2,Month-to-Month,0
35,66,36.75,0,One Year,0
43,43,30.46,2,Two Year,0
61,23,83.64,1,Month-to-Month,1
51,55,90.65,1,Two Year,0
27,16,23.16,1,One Year,0
53,8,113.62,1,One Year,1
31,4,25.2,0,One Year,0
48,4,74.13,5,Month-to-Month,0
65,56,90.91,0,Month-to-Month,0
32,25,107.1,1,One Year,0
25,67,91.41,0,Month-to-Month,1
31,67,100.17,4,Two Year,0
40,27,53.95,2,Month-to-Month,0
57,32,101.48,0,Month-to-Month,1
38,50,28.01,5,One Year,1
33,61,109.48,1,Month-to-Month,0
62,51,74.76,2,One Year,0
35,19,101.73,3,One Year,0
64,21,65.23,2,Two Year,0
41,5,84.36,1,One Year,1
43,42,72.64,1,One Year,0
42,61,93.16,4,One Year,0
62,22,28.16,1,Two Year,0
58,21,26.04,1,Month-to-Month,1
46,70,44.71,1,Month-to-Month,0
32,1,35.95,0,Month-to-Month,0
62,5,107.18,2,Month-to-Month,1
18,12,41.92,1,One Year,1
42,46,117.59,1,One Year,0
24,34,53.69,0,One Year,0
26,49,38.21,1,Month-to-Month,0
41,45,98.97,0,One Year,0
18,27,85.87,0,Month-to-Month,1
61,26,69.82,0,One Year,1
25,47,75.54,0,One Year,0
41,56,91.92,2,Month-to-Month,0
28,63,42.85,1,Month-to-Month,0
68,48,119.63,2,Month-to-Month,1
34,61,117.48,1,Two Year,0
25,26,85.03,1,Two Year,0
52,36,39.95,4,One Year,0
52,1,88.02,1,Month-to-Month,1
50,8,27.22,1,Month-to-Month,0
22,52,23.07,3,One Year,0
59,47,45.77,3,One Year,0
56,56,66.26,1,Month-to-Month,0
58,14,106.83,1,Month-to-Month,1
45,28,92.72,2,One Year,0
24,2,94.27,1,Month-to-Month,1
26,26,62.55,1,Month-to-Month,1
25,14,54.59,2,Month-to-Month,1
29,59,57.1,0,One Year,0
51,56,118.76,3,Two Year,1
50,7,24.01,1,Two Year,0
65,3,106.7,0,One Year,0
40,23,77.87,5,One Year,1
41,18,63.86,1,Month-to-Month,0
54,38,92.53,1,One Year,0
52,15,68.67,0,Month-to-Month,1
61,64,107.34,1,One Year,0
57,28,110.07,2,Month-to-Month,0
39,39,62.17,0,Month-to-Month,1
44,57,47.68,1,Month-to-Month,0
52,17,79.24,4,Month-to-Month,1
18,44,111.24,1,Month-to-Month,1
52,25,41.07,2,Month-to-Month,0
54,17,82.3,4,Two Year,1
64,13,83.16,1,Month-to-Month,1
31,25,93.31,1,One Year,0
20,68,33.16,2,Two Year,0
18,10,91.58,0,Two Year,0
22,67,110.9,1,One Year,0
43,18,37.97,2,Two Year,0
31,34,43.75,0,Month-to-Month,1
56,8,117.14,2,Month-to-Month,1
44,40,38.1,0,Month-to-Month,0
26,42,105.44,1,One Year,0
32,41,69.23,2,One Year,0
32,6,44.72,0,Month-to-Month,1
43,52,107.07,3,Month-to-Month,1
59,26,64.53,1,One Year,0
30,64,71.48,2,Month-to-Month,0
68,59,55.92,0,One Year,0
49,56,79.3,0,One Year,0
56,59,36.35,1,One Year,0
66,70,59.11,0,One Year,0
69,33,116.94,2,Two Year,0
49,53,45.81,1,Month-to-Month,0
21,22,85.67,3,One Year,1
47,21,52.52,4,One Year,1
54,70,97.35,1,Month-to-Month,0
40,70,33.09,1,Month-to-Month,0
56,4,116.98,3,Month-to-Month,1
62,62,65.38,1,Month-to-Month,0
32,62,43.61,1,One Year,0
60,24,27.35,0,Two Year,0
46,55,36.98,1,Month-to-Month,0
53,9,71.98,2,Month-to-Month,1
30,3,53.7,1,Two Year,1
49,31,102.89,2,Month-to-Month,1
24,40,63.09,3,Month-to-Month,1
68,36,44.87,2,One Year,1
39,24,81.71,1,One Year,0
45,6,90.68,2,Month-to-Month,1
19,66,36.7,5,Month-to-Month,0
59,4,36.76,1,Month-to-Month,1
62,6,23.67,1,One Year,0
23,51,93.64,2,One Year,0
45,62,86.38,2,Month-to-Month,0
45,57,67.46,2,One Year,0
61,66,104.42,1,Two Year,0
61,8,100.57,2,Month-to-Month,1
37,26,78.54,4,Month-to-Month,1
47,51,106.83,4,One Year,0
28,45,40.58,0,Month-to-Month,0
45,44,31.19,4,Month-to-Month,0
42,5,46.97,2,One Year,0
56,70,25.71,2,Two Year,0
50,26,73.12,3,Two Year,1
18,68,113.66,0,One Year,0
44,19,23.93,1,One Year,0
69,20,32.21,2,Month-to-Month,0
30,12,65.22,1,One Year,1
58,47,113.39,3,Month-to-Month,1
20,1,51.62,0,Month-to-Month,1
56,14,70.72,3,One Year,0
23,64,24.16,5,One Year,0
25,38,34.83,0,Month-to-Month,1
44,37,118.66,1,Two Year,1
26,11,116.51,1,Month-to-Month,1
54,3,20.49,0,Month-to-Month,0
50,33,115.18,1,Month-to-Month,0
68,6,83.91,2,One Year,0
59,50,106.79,2,One Year,0
61,10,65.47,0,Month-to-Month,0
41,5,71.56,3,One Year,0
32,23,68.88,0,Month-to-Month,1
49,10,86.69,1,One Year,0
49,44,33.97,1,Month-to-Month,0
41,2,23.0,4,Month-to-Month,1
58,13,50.79,1,Two Year,1
69,40,90.47,3,Month-to-Month,1
66,2,40.19,1,Month-to-Month,0
66,65,87.34,2,One Year,0
69,63,116.99,2,Two Year,0
29,17,29.39,1,Month-to-Month,0
56,9,87.26,4,Month-to-Month,1
19,15,64.38,0,Month-to-Month,1
20,24,106.81,1,One Year,0
66,38,37.71,1,Month-to-Month,0
54,35,89.26,0,One Year,0
66,49,103.81,1,Two Year,0
34,69,114.46,2,Month-to-Month,0
66,62,88.32,1,Month-to-Month,0
19,60,69.72,1,Month-to-Month,0
19,50,81.78,0,Month-to-Month,1
