OrderID,OrderDate,Region,Category,UnitsSold,UnitPrice,Revenue
1001,2026-04-13,,Electronics,45.0,320.03,14401.35
1002,2026-06-29,East,Sports,43.0,354.71,15252.53
1003,2026-04-03,west,Sports,34.0,20.64,701.76
1004,2026-01-15,East,Beauty,9.0,468.43,4215.87
1005,2026-04-17,North,Clothing,26.0,30.73,798.98
1006,2026-03-13,South,ELECTRONICS,2.0,272.94,545.88
1007,2026-07-08,North,Clothing,9.0,355.98,3203.82
1008,2026-01-21,East,Electronics,9.0,436.13,3925.17
1009,2026-04-13,East,Beauty,40.0,358.47,14338.8
1010,2026-05-02,West,Beauty,17.0,401.86,6831.62
1011,2026-03-16,South,Sports,1.0,173.03,173.03
1012,2026-03-29,West,Clothing,25.0,408.34,10208.5
1013,2026-04-27,East,Sports,43.0,44.66,1920.38
1014,2026-04-10,north,CLOTHING,40.0,447.93,17917.2
1015,2026-04-14,South,Sports,42.0,276.06,11594.52
1016,2026-06-01,north,Home & Kitchen,25.0,409.56,10239.0
1017,2026-05-11,north,HOME & KITCHEN,39.0,228.9,8927.1
1018,2026-05-30,south,Home & Kitchen,35.0,323.57,11324.95
1019,2026-02-22,West,Home & Kitchen,3.0,265.57,796.71
1020,2026-01-02,North,Electronics,37.0,367.14,13584.18
1021,2026-03-29,east,HOME & KITCHEN,44.0,45.41,1998.04
1022,2026-06-07,north,Beauty,44.0,34.87,1534.28
1023,2026-02-07,South,Beauty,30.0,127.32,3819.6
1024,2026-05-10,South,Electronics,38.0,83.97,3190.86
1025,2026-07-11,South,HOME & KITCHEN,34.0,436.53,14842.02
1026,2026-07-07,West,Home & Kitchen,12.0,113.51,1362.12
1027,2026-01-21,North,Home & Kitchen,19.0,488.05,9272.95
1028,2026-06-10,west,Sports,37.0,171.76,6355.12
1029,2026-02-27,West,Clothing,44.0,95.15,4186.6
1030,2026-01-22,South,Sports,49.0,395.9,19399.1
1031,2026-03-30,south,Clothing,17.0,331.06,5628.02
1032,2026-02-18,West,HOME & KITCHEN,10.0,251.61,2516.1
1033,2026-02-28,north,Home & Kitchen,49.0,279.9,13715.1
1034,2026-06-19,East,SPORTS,,361.0,16967.0
1035,2026-07-07,West,Sports,12.0,118.09,1417.08
1036,2026-01-15,North,CLOTHING,16.0,498.19,7971.04
1037,2026-07-09,South,Beauty,24.0,487.52,11700.48
1038,2026-07-09,South,Clothing,19.0,326.91,6211.29
1039,2026-06-24,north,Sports,8.0,103.77,830.16
1040,2026-07-09,east,SPORTS,31.0,341.71,10593.01
1041,2026-02-20,South,Electronics,21.0,40.74,855.54
1042,2026-04-18,South,Sports,17.0,20.17,342.89
1043,2026-02-24,south,Electronics,23.0,132.55,3048.65
1044,2026-03-05,North,Beauty,37.0,234.0,8658.0
1045,2026-05-11,west,Clothing,16.0,434.79,6956.64
1046,2026-02-20,South,Clothing,6.0,364.95,2189.7
1047,2026-05-15,west,Electronics,8.0,372.64,2981.12
1048,2026-01-21,East,Clothing,25.0,215.62,5390.5
1049,2026-03-14,South,Sports,18.0,176.24,3172.32
1050,2026-06-16,south,Home & Kitchen,25.0,188.66,4716.5
1051,2026-01-18,East,ELECTRONICS,12.0,493.89,5926.68
1052,2026-05-12,South,CLOTHING,1336.0,24.85,372.75
1053,2026-03-30,west,ELECTRONICS,,434.18,11288.68
1054,2026-03-01,north,Electronics,41.0,291.44,11949.04
1055,2026-01-14,west,Home & Kitchen,45.0,222.11,9994.95
1056,2026-01-09,north,Sports,26.0,,
1057,2026-03-31,North,Electronics,47.0,245.9,11557.3
1058,2026-02-22,West,CLOTHING,32.0,437.34,13994.88
1059,2026-05-10,West,Beauty,10.0,450.85,4508.5
1060,2026-03-25,west,Electronics,16.0,213.75,3420.0
1061,2026-04-02,west,Electronics,7.0,142.03,994.21
1062,2026-04-21,,HOME & KITCHEN,17.0,298.21,5069.57
1063,2026-07-07,south,Sports,23.0,456.62,10502.26
1064,2026-07-18,North,Beauty,26.0,109.28,2841.28
1065,2026-06-21,West,Clothing,21.0,313.37,6580.77
1066,2026-01-08,west,Beauty,22.0,317.62,6987.64
1067,2026-06-24,,Clothing,7.0,367.89,2575.23
1068,2026-02-04,East,Sports,14.0,70.13,981.82
1069,2026-03-22,West,Clothing,15.0,359.33,5389.95
1070,2026-06-13,West,Home & Kitchen,7.0,454.97,3184.79
1071,2026-02-19,West,Home & Kitchen,9.0,93.94,845.46
1072,2026-04-14,South,Home & Kitchen,48.0,122.58,5883.84
1073,2026-05-12,East,Home & Kitchen,8.0,485.84,3886.72
1074,2026-01-02,West,Beauty,23.0,94.58,2175.34
1075,2026-05-14,North,Sports,29.0,427.92,12409.68
1076,2026-02-23,north,Clothing,18.0,248.68,4476.24
1077,2026-04-16,North,Clothing,31.0,127.38,3948.78
1078,2026-01-04,east,HOME & KITCHEN,30.0,436.02,13080.6
1079,2026-02-23,East,Home & Kitchen,39.0,225.43,8791.77
1080,2026-07-10,north,Electronics,35.0,259.83,9094.05
1081,2026-05-26,West,Sports,18.0,182.82,3290.76
1082,2026-02-13,East,Beauty,42.0,298.51,12537.42
1083,2026-06-11,,Clothing,39.0,85.94,3351.66
1084,2026-07-09,North,Electronics,17.0,198.59,3376.03
1085,2026-01-14,west,Electronics,14.0,484.86,6788.04
1086,2026-04-05,South,Clothing,31.0,132.78,4116.18
1087,2026-02-17,East,Beauty,24.0,330.08,7921.92
1088,2026-01-15,West,Electronics,35.0,165.97,5808.95
1089,2026-07-19,north,Electronics,44.0,387.87,17066.28
1090,2026-07-09,North,Sports,45.0,69.78,3140.1
1091,2026-02-09,west,Beauty,,485.06,16492.04
1092,2026-03-23,east,ELECTRONICS,3.0,229.63,688.89
1093,2026-04-21,South,Beauty,37.0,121.84,4508.08
1094,2026-02-22,South,CLOTHING,43.0,41.38,1779.34
1095,2026-01-24,North,Home & Kitchen,40.0,89.03,3561.2
1096,2026-06-03,East,ELECTRONICS,26.0,262.29,6819.54
1097,2026-07-07,South,SPORTS,23.0,171.82,3951.86
1098,2026-05-04,East,Clothing,44.0,415.3,18273.2
1099,2026-02-10,East,Beauty,39.0,218.29,8513.31
1100,2026-06-06,North,Clothing,15.0,128.11,1921.65
1101,2026-01-15,south,Electronics,49.0,310.49,15214.01
1102,2026-02-14,West,Beauty,,354.85,1419.4
1103,2026-03-06,North,Home & Kitchen,29.0,87.69,2543.01
1104,2026-03-30,south,Clothing,22.0,87.97,1935.34
1105,2026-03-12,South,Electronics,25.0,23.15,578.75
1106,2026-01-09,South,Sports,13.0,369.52,4803.76
1107,2026-03-29,South,Beauty,18.0,333.58,6004.44
1108,2026-05-09,South,Clothing,33.0,239.94,7918.02
1109,2026-05-16,East,Clothing,16.0,422.86,6765.76
1110,2026-03-04,North,Home & Kitchen,45.0,403.81,18171.45
1111,2026-05-19,East,Home & Kitchen,42.0,294.75,12379.5
1112,2026-03-22,West,Sports,44.0,434.79,19130.76
1113,2026-05-16,South,Sports,2.0,106.89,213.78
1114,2026-06-12,north,Electronics,35.0,60.4,2114.0
1115,2026-06-12,south,Electronics,42.0,138.53,5818.26
1116,2026-02-02,North,Sports,34.0,33.26,1130.84
1117,2026-05-03,East,Sports,30.0,267.93,8037.9
1118,2026-01-05,North,Beauty,13.0,468.62,6092.06
1119,2026-02-10,West,Home & Kitchen,13.0,24.48,318.24
1120,2026-01-28,west,Electronics,18.0,65.44,1177.92
1121,2026-05-15,north,Home & Kitchen,32.0,228.84,7322.88
1122,2026-03-13,North,Home & Kitchen,32.0,467.27,14952.64
1123,2026-01-12,north,Sports,35.0,161.5,5652.5
1124,2026-06-11,north,BEAUTY,39.0,256.08,9987.12
1125,2026-02-02,west,Clothing,46.0,25.58,1176.68
1126,2026-02-17,South,Beauty,29.0,78.43,2274.47
1127,2026-05-31,North,Beauty,49.0,493.38,24175.62
1128,2026-03-03,north,Home & Kitchen,29.0,482.73,13999.17
1129,2026-02-06,West,Beauty,44.0,7.45,327.8
1130,2026-04-09,West,Electronics,16.0,476.15,7618.4
1131,2026-06-21,East,Home & Kitchen,44.0,321.36,14139.84
1132,2026-04-14,north,ELECTRONICS,47.0,434.62,20427.14
1133,2026-02-04,East,Clothing,10.0,230.1,2301.0
1134,2026-07-12,West,Home & Kitchen,30.0,260.22,7806.6
1135,2026-04-11,West,Clothing,25.0,246.98,6174.5
1136,2026-06-24,South,Home & Kitchen,39.0,335.1,13068.9
1137,2026-05-11,north,Sports,20.0,74.13,1482.6
1138,2026-01-01,East,Beauty,5.0,19.84,99.2
1139,2026-01-05,West,Sports,1.0,157.43,157.43
1140,2026-05-22,west,Clothing,30.0,353.82,10614.6
1141,2026-04-13,East,Beauty,49.0,104.92,5141.08
1142,2026-01-27,south,HOME & KITCHEN,3.0,338.35,1015.05
1143,2026-05-17,West,Beauty,45.0,485.11,21829.95
1144,2026-01-15,North,Electronics,14.0,51.48,720.72
1145,2026-03-31,,Beauty,30.0,337.94,10138.2
1146,2026-02-11,North,ELECTRONICS,4.0,224.66,898.64
1147,2026-05-04,East,Beauty,18.0,434.73,7825.14
1148,2026-06-28,North,Electronics,37.0,92.69,3429.53
1149,2026-03-04,East,CLOTHING,25.0,347.85,8696.25
1150,2026-04-06,North,Sports,48.0,419.87,20153.76
1151,2026-02-21,East,Home & Kitchen,1.0,472.58,472.58
1152,2026-04-06,North,Beauty,46.0,343.21,15787.66
1153,2026-05-12,south,Sports,15.0,251.1,3766.5
1154,2026-05-31,North,Home & Kitchen,9.0,310.83,2797.47
1155,2026-05-23,North,Home & Kitchen,15.0,435.11,
1156,2026-06-20,south,Electronics,49.0,287.45,
1157,2026-01-29,West,Clothing,24.0,20.04,480.96
1158,2026-02-05,West,CLOTHING,4.0,465.82,1863.28
1159,2026-01-13,north,Sports,12.0,346.32,4155.84
1160,2026-06-09,South,Clothing,37.0,339.87,12575.19
1161,2026-03-12,North,Beauty,37.0,111.76,4135.12
1162,2026-07-06,East,Clothing,43.0,331.15,14239.45
1163,2026-03-27,east,Sports,6.0,199.96,1199.76
1164,2026-01-28,north,CLOTHING,39.0,327.36,12767.04
1165,2026-03-07,West,Beauty,46.0,57.76,2656.96
1166,2026-06-19,West,Electronics,24.0,330.63,7935.12
1167,2026-02-14,North,Sports,11.0,499.71,5496.81
1168,2026-03-03,North,Electronics,13.0,28.86,375.18
1169,2026-07-04,east,Electronics,34.0,488.7,16615.8
1170,2026-05-14,West,Electronics,1637.0,206.42,5160.5
1171,2026-01-28,north,Home & Kitchen,7.0,436.02,3052.14
1172,2026-01-28,East,Home & Kitchen,4.0,392.28,1569.12
1173,2026-04-18,West,Electronics,8.0,285.67,2285.36
1174,2026-02-13,South,Sports,20.0,370.53,7410.6
1175,2026-03-25,East,Beauty,29.0,,12756.23
1176,2026-01-30,west,BEAUTY,45.0,205.05,9227.25
1177,2026-07-09,West,Clothing,46.0,,7676.48
1178,2026-03-16,East,Sports,,335.46,3354.6
1179,2026-05-08,South,Home & Kitchen,43.0,404.88,17409.84
1180,2026-04-02,east,Electronics,34.0,382.33,12999.22
1181,2026-07-09,West,Clothing,26.0,399.92,10397.92
1182,2026-05-09,North,Beauty,41.0,220.61,9045.01
1183,2026-05-01,north,Home & Kitchen,49.0,409.83,20081.67
1184,2026-01-27,East,Home & Kitchen,3.0,64.5,193.5
1185,2026-07-09,West,ELECTRONICS,6.0,274.52,1647.12
1186,2026-05-01,North,Beauty,5.0,7.85,39.25
1187,2026-04-26,west,Sports,5.0,165.67,828.35
1188,2026-01-03,east,Home & Kitchen,47.0,186.4,8760.8
1189,2026-04-13,north,Electronics,23.0,201.11,4625.53
1190,2026-07-17,West,Sports,49.0,349.26,17113.74
1191,2026-07-19,North,Beauty,9.0,197.34,1776.06
1192,2026-06-04,east,Home & Kitchen,35.0,227.1,7948.5
1193,2026-05-17,West,Sports,20.0,122.58,2451.6
1194,2026-03-03,North,Sports,49.0,189.76,9298.24
1195,2026-06-14,east,Sports,42.0,117.5,4935.0
1196,2026-02-20,North,Home & Kitchen,35.0,41.23,1443.05
1197,2026-06-21,North,Home & Kitchen,18.0,303.71,5466.78
1198,2026-06-01,South,Clothing,17.0,335.77,5708.09
1199,2026-02-28,South,Beauty,24.0,,7479.6
1200,2026-04-28,east,Electronics,3.0,234.43,
1201,2026-06-09,South,Sports,32.0,192.99,6175.68
1202,2026-04-06,East,Clothing,35.0,432.35,15132.25
1203,2026-06-29,South,ELECTRONICS,38.0,261.95,9954.1
1204,2026-04-23,North,Clothing,13.0,242.2,3148.6
1205,2026-03-03,East,Home & Kitchen,47.0,17.69,831.43
1206,2026-07-05,East,SPORTS,25.0,173.92,4348.0
1207,2026-02-21,North,Electronics,9.0,193.2,1738.8
1208,2026-01-12,,Electronics,4.0,202.42,809.68
1209,2026-02-08,East,ELECTRONICS,942.0,292.19,4090.66
1210,2026-05-10,South,Electronics,37.0,269.13,9957.81
1211,2026-05-11,East,Electronics,34.0,305.91,10400.94
1212,2026-04-23,west,Clothing,11.0,383.62,4219.82
1213,2026-04-11,north,Sports,41.0,407.43,16704.63
1214,2026-04-23,,Home & Kitchen,3.0,360.47,1081.41
1215,2026-07-03,south,Home & Kitchen,28.0,,13383.44
1216,2026-03-22,West,Home & Kitchen,29.0,14.03,406.87
