StudyHoursPerDay,SleepHoursPerDay,AttendancePercent,Gender,ParentalEducation,Extracurricular,ExamScore
8.4,7.0,74.1,Female,High School,No,74.3
4.1,5.5,83.8,Male,High School,No,69.7
5.1,4.6,77.3,Male,High School,No,58.4
5.8,4.7,85.3,Female,Bachelor's,No,59.2
3.4,7.6,86.6,Male,Bachelor's,Yes,56.9
5.0,5.5,85.8,Male,Master's,No,65.4
5.0,8.5,85.8,Female,Bachelor's,No,78.7
1.5,8.8,79.6,Female,Bachelor's,No,55.3
7.0,6.6,89.5,Female,Bachelor's,Yes,74.6
6.2,9.2,95.6,Female,High School,Yes,66.4
3.7,7.3,78.8,Female,Master's,No,62.2
4.7,8.5,84.4,Female,High School,No,69.6
6.0,6.7,85.6,Male,Bachelor's,Yes,67.4
4.5,8.2,97.5,Female,High School,No,67.1
4.5,5.8,95.8,Male,Bachelor's,Yes,62.4
2.1,7.8,77.7,Female,High School,Yes,62.0
6.1,6.4,85.7,Female,High School,No,77.7
5.2,6.8,70.1,Male,Bachelor's,No,65.0
5.5,7.8,75.3,Male,Bachelor's,Yes,70.8
1.9,7.2,85.2,Female,Bachelor's,Yes,57.8
8.3,6.9,91.3,Female,High School,Yes,74.5
5.3,7.9,94.5,Male,Master's,No,63.5
4.2,8.0,81.9,Male,High School,Yes,61.9
9.1,5.2,71.5,Female,PhD,Yes,76.7
4.9,7.7,89.0,Female,PhD,No,66.2
2.1,7.9,83.3,Male,Master's,Yes,65.3
4.2,6.0,89.2,Female,Bachelor's,No,67.9
0.5,7.5,86.6,Female,Bachelor's,No,61.9
7.1,5.3,92.2,Male,PhD,No,77.5
4.2,8.9,91.5,Male,Master's,No,63.9
3.5,6.7,93.4,Female,Bachelor's,No,62.7
7.1,6.9,80.4,Male,High School,Yes,61.5
1.7,8.6,95.0,Male,High School,No,69.7
6.1,6.8,80.0,Male,Bachelor's,No,63.4
0.9,7.8,85.8,Male,Bachelor's,Yes,52.0
3.7,5.6,100.0,Female,Bachelor's,No,75.9
2.6,6.3,88.6,Female,High School,No,50.3
7.9,5.2,73.3,Male,Bachelor's,No,66.1
8.5,6.7,99.9,Female,Master's,No,79.0
4.3,8.3,95.0,Male,Bachelor's,No,62.1
6.7,7.3,96.4,Female,PhD,No,74.0
4.6,8.1,87.0,Male,High School,No,67.0
6.1,5.7,88.5,Female,Bachelor's,No,72.9
3.5,5.9,82.7,Male,Bachelor's,No,58.3
1.6,6.4,78.0,Male,Bachelor's,No,57.1
1.4,7.7,100.0,Male,Master's,No,55.2
5.8,7.5,81.3,Female,Master's,No,71.6
9.5,7.0,80.2,Female,Master's,No,86.8
5.5,7.8,80.6,Female,High School,No,54.4
4.0,6.8,100.0,Male,High School,No,63.6
8.8,7.0,93.8,Female,High School,Yes,82.6
5.5,8.7,81.3,Male,High School,No,54.2
5.2,6.2,84.5,Male,Master's,No,43.8
5.5,7.2,90.1,Female,Bachelor's,No,70.3
4.7,9.1,93.8,Female,Master's,No,63.4
4.4,7.1,68.9,Female,Bachelor's,No,65.3
2.1,7.9,94.0,Male,Bachelor's,No,58.6
6.0,6.2,82.8,Male,High School,No,67.2
4.8,9.5,78.1,Female,Master's,No,62.6
7.4,4.1,81.1,Female,Master's,No,70.4
4.3,5.5,92.9,Female,Master's,Yes,59.2
1.2,5.6,100.0,Female,PhD,No,51.7
4.8,9.1,86.5,Female,Bachelor's,No,72.1
8.4,7.5,90.6,Female,Bachelor's,No,76.0
4.2,6.7,76.9,Female,Bachelor's,No,64.2
3.2,5.3,89.9,Female,Bachelor's,No,59.1
2.6,7.5,93.2,Female,Bachelor's,Yes,59.4
2.9,7.1,70.1,Female,Bachelor's,Yes,50.6
4.4,6.1,79.9,Female,Bachelor's,No,67.3
2.6,5.1,92.9,Female,High School,No,52.0
8.0,5.6,67.4,Female,Master's,No,72.4
4.4,7.3,81.3,Male,High School,No,51.9
5.2,7.4,91.0,Male,High School,No,69.4
7.9,7.1,68.1,Male,Bachelor's,No,73.5
8.0,6.8,81.0,Female,Master's,Yes,71.3
4.6,4.7,85.5,Female,High School,Yes,53.0
5.7,7.1,93.9,Male,Master's,No,68.4
6.5,5.7,72.2,Male,Bachelor's,No,66.9
4.6,7.1,96.1,Female,Bachelor's,No,62.8
1.4,7.6,88.1,Female,High School,No,50.2
6.3,6.1,97.0,Male,PhD,No,77.6
6.8,5.7,96.6,Male,Bachelor's,No,71.7
5.8,8.3,88.4,Male,High School,No,66.7
3.2,7.5,89.9,Male,Master's,Yes,68.8
4.6,6.2,67.6,Female,Bachelor's,No,59.3
3.8,3.1,71.5,Male,Master's,No,50.4
4.4,6.9,74.9,Female,Master's,No,67.1
7.6,7.8,81.5,Female,PhD,Yes,72.9
8.1,8.5,94.3,Female,PhD,No,84.8
6.3,6.1,67.2,Male,Bachelor's,No,60.1
6.1,6.2,81.8,Female,Master's,Yes,71.6
6.4,6.4,71.8,Female,High School,No,74.9
5.0,8.1,69.4,Male,Master's,Yes,67.8
4.8,5.5,99.8,Female,Master's,Yes,72.1
3.7,6.9,86.0,Male,PhD,No,64.3
4.9,5.8,100.0,Male,Master's,No,73.2
9.5,7.3,96.8,Male,Bachelor's,No,83.0
6.7,5.0,75.8,Male,Master's,Yes,72.2
4.3,7.5,66.5,Male,Bachelor's,Yes,59.7
4.1,6.4,100.0,Female,Bachelor's,Yes,80.6
3.3,6.7,80.9,Male,PhD,Yes,54.6
5.7,7.7,73.6,Female,Bachelor's,Yes,73.3
5.8,8.5,91.9,Female,High School,No,63.7
2.1,4.8,86.4,Male,High School,No,58.2
6.0,8.3,78.3,Female,Bachelor's,No,77.1
3.9,7.7,81.5,Female,Bachelor's,No,53.9
7.9,6.6,86.6,Male,Bachelor's,Yes,88.7
5.3,8.8,85.7,Male,High School,No,61.1
8.4,7.2,92.6,Female,Bachelor's,No,72.3
4.1,8.7,81.5,Female,PhD,Yes,67.2
4.4,6.2,81.6,Male,Master's,No,54.3
