OrderID,OrderDate,Region,Category,UnitsSold,UnitPrice,Revenue
1001,2026-04-13,North,Electronics,45.0,320.03,14401.349999999999
1002,2026-06-29,East,Sports,43.0,354.71,15252.529999999999
1003,2026-04-03,West,Sports,34.0,20.64,701.76
1004,2026-01-15,East,Beauty,9.0,468.43,4215.87
1005,2026-04-17,North,Clothing,26.0,30.73,798.98
1006,2026-03-13,South,Electronics,2.0,272.94,545.88
1007,2026-07-08,North,Clothing,9.0,355.98,3203.82
1008,2026-01-21,East,Electronics,9.0,436.13,3925.17
1009,2026-04-13,East,Beauty,40.0,358.47,14338.800000000001
1010,2026-05-02,West,Beauty,17.0,401.86,6831.62
1011,2026-03-16,South,Sports,1.0,173.03,173.03
1012,2026-03-29,West,Clothing,25.0,408.34,10208.5
1013,2026-04-27,East,Sports,43.0,44.66,1920.3799999999999
1014,2026-04-10,North,Clothing,40.0,447.93,17917.2
1015,2026-04-14,South,Sports,42.0,276.06,11594.52
1016,2026-06-01,North,Home & Kitchen,25.0,409.56,10239.0
1017,2026-05-11,North,Home & Kitchen,39.0,228.9,8927.1
1018,2026-05-30,South,Home & Kitchen,35.0,323.57,11324.949999999999
1019,2026-02-22,West,Home & Kitchen,3.0,265.57,796.71
1020,2026-01-02,North,Electronics,37.0,367.14,13584.18
1021,2026-03-29,East,Home & Kitchen,44.0,45.41,1998.04
1022,2026-06-07,North,Beauty,44.0,34.87,1534.28
1023,2026-02-07,South,Beauty,30.0,127.32,3819.6
1024,2026-05-10,South,Electronics,38.0,83.97,3190.86
1025,2026-07-11,South,Home & Kitchen,34.0,436.53,14842.019999999999
1026,2026-07-07,West,Home & Kitchen,12.0,113.51,1362.1200000000001
1027,2026-01-21,North,Home & Kitchen,19.0,488.05,9272.95
1028,2026-06-10,West,Sports,37.0,171.76,6355.12
1029,2026-02-27,West,Clothing,44.0,95.15,4186.6
1030,2026-01-22,South,Sports,49.0,395.9,19399.1
1031,2026-03-30,South,Clothing,17.0,331.06,5628.02
1032,2026-02-18,West,Home & Kitchen,10.0,251.61,2516.1000000000004
1033,2026-02-28,North,Home & Kitchen,49.0,279.9,13715.099999999999
1034,2026-06-19,East,Sports,26.0,361.0,9386.0
1035,2026-07-07,West,Sports,12.0,118.09,1417.08
1036,2026-01-15,North,Clothing,16.0,498.19,7971.04
1037,2026-07-09,South,Beauty,24.0,487.52,11700.48
1038,2026-07-09,South,Clothing,19.0,326.91,6211.290000000001
1039,2026-06-24,North,Sports,8.0,103.77,830.16
1040,2026-07-09,East,Sports,31.0,341.71,10593.01
1041,2026-02-20,South,Electronics,21.0,40.74,855.5400000000001
1042,2026-04-18,South,Sports,17.0,20.17,342.89000000000004
1043,2026-02-24,South,Electronics,23.0,132.55,3048.65
1044,2026-03-05,North,Beauty,37.0,234.0,8658.0
1045,2026-05-11,West,Clothing,16.0,434.79,6956.64
1046,2026-02-20,South,Clothing,6.0,364.95,2189.7
1047,2026-05-15,West,Electronics,8.0,372.64,2981.12
1048,2026-01-21,East,Clothing,25.0,215.62,5390.5
1049,2026-03-14,South,Sports,18.0,176.24,3172.32
1050,2026-06-16,South,Home & Kitchen,25.0,188.66,4716.5
1051,2026-01-18,East,Electronics,12.0,493.89,5926.68
1052,2026-05-12,South,Clothing,72.5,24.85,1801.625
1053,2026-03-30,West,Electronics,26.0,434.18,11288.68
1054,2026-03-01,North,Electronics,41.0,291.44,11949.039999999999
1055,2026-01-14,West,Home & Kitchen,45.0,222.11,9994.95
1056,2026-01-09,North,Sports,26.0,227.005,5902.13
