Date,Store,Category,UnitsSold,UnitPrice,Revenue
2024-01-01,Store A,Electronics,3,122.07,366.22
2024-01-01,Store A,Clothing,3,47.24,141.71
2024-01-01,Store A,Groceries,10,12.58,125.83
2024-01-01,Store A,Home & Kitchen,7,63.9,447.32
2024-01-01,Store A,Beauty,7,23.03,161.18
2024-01-01,Store B,Electronics,10,112.74,1127.36
2024-01-01,Store B,Clothing,5,39.85,199.24
2024-01-01,Store B,Groceries,8,13.71,109.67
2024-01-01,Store B,Home & Kitchen,2,77.62,155.25
2024-01-01,Store B,Beauty,7,24.98,174.87
2024-01-01,Store C,Electronics,5,308.51,1542.56
2024-01-01,Store C,Clothing,3,22.51,67.52
2024-01-01,Store C,Groceries,5,7.8,39.01
2024-01-01,Store C,Home & Kitchen,4,41.14,164.57
2024-01-01,Store C,Beauty,4,40.83,163.31
2024-01-02,Store A,Electronics,5,321.92,1609.6
2024-01-02,Store A,Clothing,5,29.73,148.64
2024-01-02,Store A,Groceries,11,4.95,54.42
2024-01-02,Store A,Beauty,4,25.31,101.23
2024-01-02,Store B,Electronics,4,133.87,535.48
2024-01-02,Store B,Clothing,4,17.83,71.33
2024-01-02,Store B,Groceries,6,24.55,147.33
2024-01-02,Store B,Home & Kitchen,4,14.6,58.39
2024-01-02,Store B,Beauty,2,13.0,26.01
2024-01-02,Store C,Electronics,2,238.31,476.62
2024-01-02,Store C,Clothing,6,37.39,224.31
2024-01-02,Store C,Groceries,6,10.04,60.25
2024-01-02,Store C,Home & Kitchen,4,38.87,155.49
2024-01-02,Store C,Beauty,4,6.18,24.74
2024-01-03,Store A,Electronics,5,218.89,1094.44
2024-01-03,Store A,Clothing,5,73.33,366.65
2024-01-03,Store A,Groceries,2,9.58,19.15
2024-01-03,Store A,Home & Kitchen,7,79.08,553.56
2024-01-03,Store A,Beauty,2,54.16,108.33
2024-01-03,Store B,Electronics,5,358.25,1791.23
2024-01-03,Store B,Clothing,6,69.7,418.22
2024-01-03,Store B,Groceries,6,15.0,90.0
2024-01-03,Store B,Home & Kitchen,6,107.32,643.91
2024-01-03,Store B,Beauty,4,39.41,157.64
2024-01-03,Store C,Electronics,6,133.06,798.36
2024-01-03,Store C,Clothing,6,18.62,111.74
2024-01-03,Store C,Groceries,6,10.81,64.86
2024-01-03,Store C,Home & Kitchen,2,57.69,115.38
2024-01-03,Store C,Beauty,1,18.89,18.89
2024-01-04,Store A,Electronics,8,342.52,2740.18
2024-01-04,Store A,Clothing,6,55.39,332.33
2024-01-04,Store A,Groceries,10,21.14,211.38
2024-01-04,Store A,Home & Kitchen,5,15.99,79.93
2024-01-04,Store A,Beauty,3,6.96,20.87
2024-01-04,Store B,Electronics,4,297.82,1191.29
2024-01-04,Store B,Clothing,4,73.81,295.25
2024-01-04,Store B,Groceries,7,17.92,125.41
2024-01-04,Store B,Home & Kitchen,4,27.85,111.39
2024-01-04,Store C,Electronics,5,315.46,1577.31
2024-01-04,Store C,Clothing,2,79.09,158.19
2024-01-04,Store C,Groceries,6,18.01,108.05
2024-01-04,Store C,Beauty,1,37.65,37.65
2024-01-05,Store A,Electronics,2,363.37,726.74
2024-01-05,Store A,Clothing,8,20.34,162.68
2024-01-05,Store A,Groceries,4,22.59,90.36
2024-01-05,Store A,Home & Kitchen,3,56.66,169.97
2024-01-05,Store A,Beauty,7,28.61,200.25
2024-01-05,Store B,Electronics,4,327.4,1309.62
2024-01-05,Store B,Groceries,4,14.97,59.88
2024-01-05,Store B,Home & Kitchen,4,24.11,96.43
2024-01-05,Store B,Beauty,2,52.01,104.02
2024-01-05,Store C,Electronics,3,180.33,540.99
2024-01-05,Store C,Clothing,4,30.54,122.17
2024-01-05,Store C,Groceries,3,6.58,19.73
2024-01-05,Store C,Home & Kitchen,3,55.53,166.59
2024-01-05,Store C,Beauty,1,35.65,35.65
2024-01-06,Store A,Electronics,11,185.7,2042.66
2024-01-06,Store A,Clothing,8,32.09,256.71
2024-01-06,Store A,Groceries,8,6.66,53.27
2024-01-06,Store A,Home & Kitchen,8,30.12,240.96
2024-01-06,Store A,Beauty,2,29.6,59.19
2024-01-06,Store B,Electronics,4,357.11,1428.45
2024-01-06,Store B,Clothing,6,65.77,394.6
2024-01-06,Store B,Groceries,4,10.43,41.72
2024-01-06,Store B,Home & Kitchen,5,32.36,161.8
2024-01-06,Store B,Beauty,3,22.58,67.74
2024-01-06,Store C,Electronics,6,168.18,1009.1
2024-01-06,Store C,Clothing,4,74.85,299.4
2024-01-06,Store C,Groceries,7,2.11,14.76
2024-01-06,Store C,Home & Kitchen,3,17.97,53.92
2024-01-06,Store C,Beauty,4,45.18,180.73
2024-01-07,Store A,Electronics,8,126.94,1015.54
2024-01-07,Store A,Clothing,10,78.9,789.03
2024-01-07,Store A,Groceries,13,22.04,286.51
2024-01-07,Store A,Home & Kitchen,5,52.03,260.13
2024-01-07,Store A,Beauty,5,7.47,37.36
2024-01-07,Store B,Electronics,3,363.38,1090.14
2024-01-07,Store B,Clothing,5,49.58,247.92
2024-01-07,Store B,Groceries,8,15.72,125.73
2024-01-07,Store B,Home & Kitchen,4,70.1,280.41
2024-01-07,Store B,Beauty,4,52.65,210.59
2024-01-07,Store C,Electronics,6,328.0,1968.02
2024-01-07,Store C,Clothing,1,75.66,75.66
2024-01-07,Store C,Groceries,7,17.24,120.71
2024-01-07,Store C,Home & Kitchen,5,116.01,580.07
2024-01-07,Store C,Beauty,5,15.69,78.46
2024-01-08,Store A,Electronics,5,391.03,1955.14
2024-01-08,Store A,Clothing,7,15.66,109.62
2024-01-08,Store A,Groceries,12,23.21,278.56
2024-01-08,Store A,Home & Kitchen,4,102.45,409.79
2024-01-08,Store A,Beauty,5,33.11,165.53
2024-01-08,Store B,Electronics,3,110.04,330.11
2024-01-08,Store B,Clothing,3,65.14,195.41
2024-01-08,Store B,Groceries,7,2.21,15.48
2024-01-08,Store B,Home & Kitchen,4,51.59,206.34
2024-01-08,Store B,Beauty,4,40.52,162.09
2024-01-08,Store C,Electronics,3,364.38,1093.14
2024-01-08,Store C,Clothing,5,29.74,148.68
2024-01-08,Store C,Groceries,3,3.95,11.86
2024-01-08,Store C,Home & Kitchen,2,45.41,90.82
2024-01-08,Store C,Beauty,2,53.77,107.53
2024-01-09,Store A,Electronics,5,365.71,1828.57
2024-01-09,Store A,Clothing,6,41.79,250.76
2024-01-09,Store A,Groceries,6,6.9,41.37
2024-01-09,Store A,Home & Kitchen,4,81.51,326.03
2024-01-09,Store A,Beauty,7,6.98,48.88
2024-01-09,Store B,Electronics,2,282.65,565.3
2024-01-09,Store B,Clothing,4,37.46,149.85
2024-01-09,Store B,Groceries,11,18.54,203.89
2024-01-09,Store B,Home & Kitchen,2,90.96,181.93
2024-01-09,Store B,Beauty,4,38.65,154.6
2024-01-09,Store C,Electronics,4,261.02,1044.09
2024-01-09,Store C,Clothing,5,28.21,141.03
2024-01-09,Store C,Groceries,5,19.86,99.31
2024-01-09,Store C,Home & Kitchen,3,57.52,172.57
2024-01-09,Store C,Beauty,1,9.53,9.53
2024-01-10,Store A,Electronics,10,262.89,2628.87
2024-01-10,Store A,Clothing,3,44.69,134.08
2024-01-10,Store A,Groceries,8,14.9,119.22
2024-01-10,Store A,Home & Kitchen,2,39.87,79.75
2024-01-10,Store A,Beauty,1,41.95,41.95
2024-01-10,Store B,Electronics,4,392.24,1568.96
2024-01-10,Store B,Clothing,4,53.72,214.89
2024-01-10,Store B,Groceries,13,2.8,36.34
2024-01-10,Store B,Home & Kitchen,4,87.53,350.12
2024-01-10,Store B,Beauty,1,59.62,59.62
2024-01-10,Store C,Electronics,3,360.11,1080.34
2024-01-10,Store C,Clothing,4,19.46,77.86
2024-01-10,Store C,Groceries,6,3.97,23.84
2024-01-10,Store C,Home & Kitchen,3,55.73,167.2
2024-01-10,Store C,Beauty,1,9.42,9.42
2024-01-11,Store A,Electronics,6,169.7,1018.21
2024-01-11,Store A,Clothing,8,59.09,472.72
2024-01-11,Store A,Groceries,6,2.74,16.42
2024-01-11,Store A,Home & Kitchen,2,113.14,226.27
2024-01-11,Store A,Beauty,7,26.12,182.86
2024-01-11,Store B,Electronics,2,311.62,623.25
2024-01-11,Store B,Clothing,8,60.42,483.39
2024-01-11,Store B,Groceries,9,19.95,179.56
2024-01-11,Store B,Home & Kitchen,3,25.76,77.29
2024-01-11,Store B,Beauty,4,34.19,136.76
2024-01-11,Store C,Electronics,7,189.08,1323.57
2024-01-11,Store C,Clothing,3,20.76,62.27
2024-01-11,Store C,Groceries,3,15.65,46.94
2024-01-11,Store C,Home & Kitchen,5,104.67,523.33
2024-01-11,Store C,Beauty,3,25.16,75.49
2024-01-12,Store A,Electronics,6,214.71,1288.29
2024-01-12,Store A,Clothing,5,33.86,169.32
2024-01-12,Store A,Groceries,6,17.52,105.11
2024-01-12,Store A,Home & Kitchen,7,84.1,588.68
2024-01-12,Store A,Beauty,6,55.35,332.09
2024-01-12,Store B,Electronics,4,394.34,1577.35
2024-01-12,Store B,Clothing,4,21.02,84.06
2024-01-12,Store B,Groceries,7,10.14,70.97
2024-01-12,Store B,Home & Kitchen,3,53.7,161.11
2024-01-12,Store B,Beauty,4,47.27,189.09
2024-01-12,Store C,Electronics,5,251.39,1256.96
2024-01-12,Store C,Clothing,6,59.44,356.67
2024-01-12,Store C,Groceries,4,3.35,13.41
2024-01-12,Store C,Home & Kitchen,1,31.03,31.03
2024-01-12,Store C,Beauty,2,53.5,107.0
2024-01-13,Store A,Electronics,9,235.52,2119.67
2024-01-13,Store A,Clothing,7,29.78,208.45
2024-01-13,Store A,Groceries,3,13.69,41.08
2024-01-13,Store A,Home & Kitchen,8,45.21,361.67
2024-01-13,Store A,Beauty,3,51.85,155.54
2024-01-13,Store B,Electronics,6,176.31,1057.84
2024-01-13,Store B,Clothing,4,69.08,276.34
2024-01-13,Store B,Groceries,12,9.35,112.16
2024-01-13,Store B,Home & Kitchen,8,60.17,481.33
2024-01-13,Store B,Beauty,2,20.6,41.2
2024-01-13,Store C,Electronics,7,150.21,1051.5
2024-01-13,Store C,Clothing,7,62.7,438.9
2024-01-13,Store C,Groceries,5,20.51,102.55
2024-01-13,Store C,Home & Kitchen,4,27.18,108.71
2024-01-13,Store C,Beauty,1,5.12,5.12
2024-01-14,Store A,Electronics,5,358.42,1792.1
2024-01-14,Store A,Clothing,7,24.65,172.53
2024-01-14,Store A,Groceries,9,24.19,217.69
2024-01-14,Store A,Home & Kitchen,8,108.97,871.76
2024-01-14,Store A,Beauty,7,56.44,395.08
2024-01-14,Store B,Electronics,5,358.31,1791.54
2024-01-14,Store B,Clothing,4,40.23,160.92
2024-01-14,Store B,Groceries,8,5.71,45.71
2024-01-14,Store B,Home & Kitchen,5,55.24,276.22
2024-01-14,Store B,Beauty,5,10.13,50.64
2024-01-14,Store C,Electronics,6,245.55,1473.3
2024-01-14,Store C,Clothing,2,63.64,127.29
2024-01-14,Store C,Groceries,6,10.34,62.04
2024-01-14,Store C,Home & Kitchen,2,118.02,236.04
2024-01-14,Store C,Beauty,3,33.55,100.66
2024-01-15,Store A,Electronics,8,154.85,1238.8
2024-01-15,Store A,Clothing,4,40.11,160.44
2024-01-15,Store A,Groceries,10,20.04,200.39
2024-01-15,Store A,Home & Kitchen,5,57.16,285.79
2024-01-15,Store A,Beauty,3,44.68,134.03
2024-01-15,Store B,Electronics,5,328.7,1643.5
2024-01-15,Store B,Clothing,3,18.49,55.46
2024-01-15,Store B,Groceries,2,22.44,44.87
2024-01-15,Store B,Home & Kitchen,5,80.95,404.76
2024-01-15,Store B,Beauty,3,48.06,144.17
2024-01-15,Store C,Electronics,2,58.35,116.7
2024-01-15,Store C,Clothing,5,43.8,219.02
2024-01-15,Store C,Groceries,7,5.77,40.36
